noise_type,eps,No denoise,Spike removal,Majority filter,HMM Viterbi,HMM Marginal,GNN-U,GNN-B,GNN-MIX
burst,0.05,0.9488664940755991,0.9432749927825756,0.9249006867218448,0.9536639366978621,0.9544324836373191,0.9510022124774911,0.9607068863628238,0.9529762684023462
burst,0.1,0.8988555353140071,0.8937442522753258,0.8836602583635151,0.9136752168486412,0.9136398812825981,0.9116853696763606,0.9243894284588816,0.9153809985197052
burst,0.15,0.8488598998605975,0.8441007791246473,0.8443282228984685,0.8769252055466895,0.8756696571004144,0.872830791126402,0.8888661313688704,0.8781840626018708
burst,0.2,0.7990404879998345,0.7945971534174867,0.8012957960442079,0.8406191633904868,0.8371509894592084,0.8319800997546215,0.8498029399421126,0.8384907334869289
burst,0.25,0.749037156759952,0.744703215244354,0.7585778895042604,0.8044444341886882,0.7996153148873044,0.7901067764730912,0.8100498877608104,0.7990236477137954
burst,0.3,0.6989083993557911,0.6952819430005669,0.715723354879623,0.7697216660372626,0.7626525544758662,0.7468082607042018,0.7695127629485876,0.7571541741736266
burst,0.35,0.6488595340817188,0.6458700671431146,0.6716550518582096,0.735962254973369,0.7271289475464842,0.703429106367927,0.7294289636901518,0.715314808698808
burst,0.4,0.5989956797379823,0.5959193830385443,0.6275652772232483,0.698013012307079,0.6887201937315133,0.6589841132903139,0.6863316415172317,0.671710274436157
burst,0.45,0.5488183208435579,0.5462164314207829,0.5797294488025536,0.6570233892695633,0.6465345473341323,0.6097992227609585,0.6407916122702846,0.6248081541048967
burst,0.5,0.49931636347200864,0.4968728956484982,0.5331634228823059,0.6219309860593996,0.6060604005319068,0.5634580385236791,0.5960644563284212,0.579218919239339
uniform,0.05,0.9500954616171756,0.970327877718882,0.9439172236451752,0.9782175274591707,0.9780579534998607,0.9723005901727128,0.969920216419736,0.9713801593510939
uniform,0.1,0.9012767043212802,0.9427137652819205,0.925541115410767,0.9575960054825463,0.9588095007150871,0.956194872688135,0.9455464467884204,0.9535127556494967
uniform,0.15,0.8495078881873938,0.9086770382770004,0.9059899401227092,0.9349543654934805,0.9392622318339727,0.9379516567120503,0.9183754736437256,0.9344528953543366
uniform,0.2,0.8004697303108004,0.8704005521666595,0.8833466700748205,0.9113236358748706,0.9186273741985347,0.917500885932601,0.8894559409575464,0.91245385558509
uniform,0.25,0.7509401106660312,0.8285648496763356,0.8588806427784729,0.8854408240065633,0.8970414303660659,0.8940803983024589,0.8594652789062535,0.888919745505034
uniform,0.3,0.6995841229344554,0.7816104867338395,0.8287582375579431,0.857874370836578,0.8731204237560694,0.8676073460920459,0.824465704737997,0.8623645670788933
uniform,0.35,0.6502776849365289,0.7329963386864495,0.7967441306551429,0.8275997111193889,0.8481695196666472,0.8360841665563119,0.7879993969168562,0.8317434590228877
uniform,0.4,0.5993672859824981,0.6785250323708674,0.7551297027673299,0.7919479329138017,0.8169311818674343,0.7962077021172568,0.7423741239308377,0.792861096409292
uniform,0.45,0.5504436531486986,0.6257222134826457,0.7111319688474436,0.7561165271816642,0.7886067760774863,0.7552490674821617,0.6978740857122897,0.7521363511462376
uniform,0.5,0.5000667505476352,0.5695413529009901,0.6590575518786944,0.7169218963234653,0.7559959995935457,0.7056246618948628,0.6435399295608313,0.7049678553681058
